dates,open,high,low,close,volume
2024-07-01 17:05:00,0.381,0.3819,0.3806,0.3812,365359.7
2024-07-01 17:10:00,0.3812,0.3812,0.38,0.38,274442.0
2024-07-01 17:15:00,0.38,0.3814,0.3797,0.3808,286115.4
2024-07-01 17:20:00,0.3809,0.3812,0.3805,0.381,188021.5
2024-07-01 17:25:00,0.381,0.381,0.3798,0.3805,833518.8
2024-07-01 17:30:00,0.3806,0.3816,0.3802,0.3811,320122.7
2024-07-01 17:35:00,0.3811,0.3818,0.3802,0.3814,237415.8
2024-07-01 17:40:00,0.3815,0.3826,0.3813,0.382,344435.6
2024-07-01 17:45:00,0.3821,0.3832,0.382,0.3823,529954.3
2024-07-01 17:50:00,0.3823,0.3823,0.3815,0.3816,198210.6
2024-07-01 17:55:00,0.3816,0.3819,0.3813,0.3815,180970.2
2024-07-01 18:00:00,0.3815,0.3834,0.381,0.3828,498039.8
2024-07-01 18:05:00,0.3827,0.3836,0.3817,0.3825,517601.7
2024-07-01 18:10:00,0.3824,0.3824,0.3797,0.38,972547.0
2024-07-01 18:15:00,0.38,0.3807,0.3799,0.3803,327366.0
2024-07-01 18:20:00,0.3803,0.3804,0.3765,0.3771,1335565.7
2024-07-01 18:25:00,0.3771,0.3779,0.3765,0.377,882496.6
2024-07-01 18:30:00,0.3769,0.3771,0.3754,0.3762,744192.7
2024-07-01 18:35:00,0.3761,0.3768,0.3755,0.3764,397122.3
2024-07-01 18:40:00,0.3763,0.3769,0.376,0.3768,480503.9
2024-07-01 18:45:00,0.3768,0.3778,0.3764,0.3773,366641.3
2024-07-01 18:50:00,0.3773,0.3777,0.3767,0.3771,270494.0
2024-07-01 18:55:00,0.3772,0.3778,0.3769,0.3776,390644.3
2024-07-01 19:00:00,0.3778,0.3781,0.3774,0.3776,485900.8
2024-07-01 19:05:00,0.3776,0.3796,0.3776,0.379,388994.3
2024-07-01 19:10:00,0.379,0.3792,0.3775,0.3777,339009.8
2024-07-01 19:15:00,0.3776,0.3784,0.3764,0.3765,422238.5
2024-07-01 19:20:00,0.3764,0.3766,0.3742,0.3746,1197653.6
2024-07-01 19:25:00,0.3746,0.3748,0.3735,0.374,725697.6
2024-07-01 19:30:00,0.3741,0.3759,0.374,0.3747,816958.6
2024-07-01 19:35:00,0.3747,0.3754,0.374,0.3754,339421.5
2024-07-01 19:40:00,0.3755,0.3756,0.3745,0.3747,295510.6
2024-07-01 19:45:00,0.3746,0.3751,0.3741,0.3741,377580.3
2024-07-01 19:50:00,0.3741,0.3757,0.3741,0.3755,328456.8
2024-07-01 19:55:00,0.3755,0.3756,0.3746,0.3749,287233.8
2024-07-01 20:00:00,0.3749,0.3754,0.3731,0.3754,814008.3
2024-07-01 20:05:00,0.3754,0.376,0.3722,0.3724,538304.0
2024-07-01 20:10:00,0.3722,0.3735,0.3713,0.3729,644744.5
2024-07-01 20:15:00,0.3729,0.373,0.3703,0.3712,740625.3
2024-07-01 20:20:00,0.3713,0.3725,0.371,0.3719,550737.9
2024-07-01 20:25:00,0.3717,0.3768,0.3717,0.3745,1187499.2
2024-07-01 20:30:00,0.3745,0.3782,0.3743,0.3761,1262778.5
2024-07-01 20:35:00,0.3762,0.3764,0.3752,0.3758,528539.7
2024-07-01 20:40:00,0.3758,0.377,0.3745,0.3747,484921.1
